Variable,Default,Verbose Type,Notes
D_55,0,initial value of state variable,
transmission_55, 1.5, per-capita flow rate,
infection_55, 0.2, per-capita flow rate,
progression_55, 0.2, per-capita flow rate,
recovery_55, 0.1, per-capita flow rate,
hospitalization_55, 0.1, per-capita flow rate,
discharge_55, 0.1, per-capita flow rate,
deathH_55, 0.01, per-capita flow rate,
deathI_55, 0.01, per-capita flow rate,
S_60,1E+06,initial value of state variable,approximate population of Canada
R_60,0,initial value of state variable,
E_60,1,initial value of state variable,initial exposed individual
I_60,1,initial value of state variable,
H_60,0,initial value of state variable,
D_60,0,initial value of state variable,
transmission_60, 1.5, per-capita flow rate,
infection_60, 0.2, per-capita flow rate,
progression_60, 0.2, per-capita flow rate,
recovery_60, 0.1, per-capita flow rate,
hospitalization_60, 0.1, per-capita flow rate,
discharge_60, 0.1, per-capita flow rate,
deathH_60, 0.01, per-capita flow rate,
deathI_60, 0.01, per-capita flow rate,
S_65,1E+06,initial value of state variable,approximate population of Canada
R_65,0,initial value of state variable,
E_65,1,initial value of state variable,initial exposed individual
I_65,1,initial value of state variable,
H_65,0,initial value of state variable,
D_65,0,initial value of state variable,
transmission_65, 1.5, per-capita flow rate,
infection_65, 0.2, per-capita flow rate,
progression_65, 0.2, per-capita flow rate,
recovery_65, 0.1, per-capita flow rate,
hospitalization_65, 0.1, per-capita flow rate,
discharge_65, 0.1, per-capita flow rate,
deathH_65, 0.01, per-capita flow rate,
deathI_65, 0.01, per-capita flow rate,
S_70,1E+06,initial value of state variable,approximate population of Canada
R_70,0,initial value of state variable,
E_70,1,initial value of state variable,initial exposed individual
I_70,1,initial value of state variable,
H_70,0,initial value of state variable,
D_70,0,initial value of state variable,
transmission_70, 1.5, per-capita flow rate,
infection_70, 0.2, per-capita flow rate,
progression_70, 0.2, per-capita flow rate,
recovery_70, 0.1, per-capita flow rate,
hospitalization_70, 0.1, per-capita flow rate,
discharge_70, 0.1, per-capita flow rate,
deathH_70, 0.01, per-capita flow rate,
deathI_70, 0.01, per-capita flow rate,
S_75,1E+06,initial value of state variable,approximate population of Canada
R_75,0,initial value of state variable,
E_75,1,initial value of state variable,initial exposed individual
I_75,1,initial value of state variable,
H_75,0,initial value of state variable,
D_75,0,initial value of state variable,
transmission_75, 1.5, per-capita flow rate,
infection_75, 0.2, per-capita flow rate,
progression_75, 0.2, per-capita flow rate,
recovery_75, 0.1, per-capita flow rate,
hospitalization_75, 0.1, per-capita flow rate,
discharge_75, 0.1, per-capita flow rate,
deathH_75, 0.01, per-capita flow rate,
deathI_75, 0.01, per-capita flow rate,
S_80,1E+06,initial value of state variable,approximate population of Canada
R_80,0,initial value of state variable,
E_80,1,initial value of state variable,initial exposed individual
I_80,1,initial value of state variable,
H_80,0,initial value of state variable,
D_80,0,initial value of state variable,
transmission_80, 1.5, per-capita flow rate,
infection_80, 0.2, per-capita flow rate,
progression_80, 0.2, per-capita flow rate,
recovery_80, 0.1, per-capita flow rate,
hospitalization_80, 0.1, per-capita flow rate,
discharge_80, 0.1, per-capita flow rate,
deathH_80, 0.01, per-capita flow rate,
deathI_80, 0.01, per-capita flow rate,
c_0_0, 0.05882353, contact rate,
c_0_5, 0.05882353, contact rate,
c_0_10, 0.05882353, contact rate,
c_0_15, 0.05882353, contact rate,
c_0_20, 0.05882353, contact rate,
c_0_25, 0.05882353, contact rate,
c_0_30, 0.05882353, contact rate,
c_0_35, 0.05882353, contact rate,
c_0_40, 0.05882353, contact rate,
c_0_45, 0.05882353, contact rate,
c_0_50, 0.05882353, contact rate,
c_0_55, 0.05882353, contact rate,
c_0_60, 0.05882353, contact rate,
c_0_65, 0.05882353, contact rate,
c_0_70, 0.05882353, contact rate,
c_0_75, 0.05882353, contact rate,
c_0_80, 0.05882353, contact rate,
c_5_0, 0.05882353, contact rate,
c_5_5, 0.05882353, contact rate,
c_5_10, 0.05882353, contact rate,
c_5_15, 0.05882353, contact rate,
c_5_20, 0.05882353, contact rate,
c_5_25, 0.05882353, contact rate,
c_5_30, 0.05882353, contact rate,
c_5_35, 0.05882353, contact rate,
c_5_40, 0.05882353, contact rate,
c_5_45, 0.05882353, contact rate,
c_5_50, 0.05882353, contact rate,
c_5_55, 0.05882353, contact rate,
c_5_60, 0.05882353, contact rate,
c_5_65, 0.05882353, contact rate,
c_5_70, 0.05882353, contact rate,
c_5_75, 0.05882353, contact rate,
c_5_80, 0.05882353, contact rate,
c_10_0, 0.05882353, contact rate,
c_10_5, 0.05882353, contact rate,
c_10_10, 0.05882353, contact rate,
c_10_15, 0.05882353, contact rate,
c_10_20, 0.05882353, contact rate,
c_10_25, 0.05882353, contact rate,
c_10_30, 0.05882353, contact rate,
c_10_35, 0.05882353, contact rate,
c_10_40, 0.05882353, contact rate,
c_10_45, 0.05882353, contact rate,
c_10_50, 0.05882353, contact rate,
c_10_55, 0.05882353, contact rate,
c_10_60, 0.05882353, contact rate,
c_10_65, 0.05882353, contact rate,
c_10_70, 0.05882353, contact rate,
c_10_75, 0.05882353, contact rate,
c_10_80, 0.05882353, contact rate,
c_15_0, 0.05882353, contact rate,
c_15_5, 0.05882353, contact rate,
c_15_10, 0.05882353, contact rate,
c_15_15, 0.05882353, contact rate,
c_15_20, 0.05882353, contact rate,
c_15_25, 0.05882353, contact rate,
c_15_30, 0.05882353, contact rate,
c_15_35, 0.05882353, contact rate,
c_15_40, 0.05882353, contact rate,
c_15_45, 0.05882353, contact rate,
c_15_50, 0.05882353, contact rate,
c_15_55, 0.05882353, contact rate,
c_15_60, 0.05882353, contact rate,
c_15_65, 0.05882353, contact rate,
c_15_70, 0.05882353, contact rate,
c_15_75, 0.05882353, contact rate,
c_15_80, 0.05882353, contact rate,
c_20_0, 0.05882353, contact rate,
c_20_5, 0.05882353, contact rate,
c_20_10, 0.05882353, contact rate,
c_20_15, 0.05882353, contact rate,
c_20_20, 0.05882353, contact rate,
c_20_25, 0.05882353, contact rate,
c_20_30, 0.05882353, contact rate,
c_20_35, 0.05882353, contact rate,
c_20_40, 0.05882353, contact rate,
c_20_45, 0.05882353, contact rate,
c_20_50, 0.05882353, contact rate,
c_20_55, 0.05882353, contact rate,
c_20_60, 0.05882353, contact rate,
c_20_65, 0.05882353, contact rate,
c_20_70, 0.05882353, contact rate,
c_20_75, 0.05882353, contact rate,
c_20_80, 0.05882353, contact rate,
c_25_0, 0.05882353, contact rate,
c_25_5, 0.05882353, contact rate,
c_25_10, 0.05882353, contact rate,
c_25_15, 0.05882353, contact rate,
c_25_20, 0.05882353, contact rate,
c_25_25, 0.05882353, contact rate,
c_25_30, 0.05882353, contact rate,
c_25_35, 0.05882353, contact rate,
c_25_40, 0.05882353, contact rate,
c_25_45, 0.05882353, contact rate,
c_25_50, 0.05882353, contact rate,
c_25_55, 0.05882353, contact rate,
c_25_60, 0.05882353, contact rate,
c_25_65, 0.05882353, contact rate,
c_25_70, 0.05882353, contact rate,
c_25_75, 0.05882353, contact rate,
c_25_80, 0.05882353, contact rate,
c_30_0, 0.05882353, contact rate,
c_30_5, 0.05882353, contact rate,
c_30_10, 0.05882353, contact rate,
c_30_15, 0.05882353, contact rate,
c_30_20, 0.05882353, contact rate,
c_30_25, 0.05882353, contact rate,
c_30_30, 0.05882353, contact rate,
c_30_35, 0.05882353, contact rate,
c_30_40, 0.05882353, contact rate,
c_30_45, 0.05882353, contact rate,
c_30_50, 0.05882353, contact rate,
c_30_55, 0.05882353, contact rate,
c_30_60, 0.05882353, contact rate,
c_30_65, 0.05882353, contact rate,
c_30_70, 0.05882353, contact rate,
c_30_75, 0.05882353, contact rate,
c_30_80, 0.05882353, contact rate,
c_35_0, 0.05882353, contact rate,
c_35_5, 0.05882353, contact rate,
c_35_10, 0.05882353, contact rate,
c_35_15, 0.05882353, contact rate,
c_35_20, 0.05882353, contact rate,
c_35_25, 0.05882353, contact rate,
c_35_30, 0.05882353, contact rate,
c_35_35, 0.05882353, contact rate,
c_35_40, 0.05882353, contact rate,
c_35_45, 0.05882353, contact rate,
c_35_50, 0.05882353, contact rate,
c_35_55, 0.05882353, contact rate,
c_35_60, 0.05882353, contact rate,
c_35_65, 0.05882353, contact rate,
c_35_70, 0.05882353, contact rate,
c_35_75, 0.05882353, contact rate,
c_35_80, 0.05882353, contact rate,
c_40_0, 0.05882353, contact rate,
c_40_5, 0.05882353, contact rate,
c_40_10, 0.05882353, contact rate,
c_40_15, 0.05882353, contact rate,
c_40_20, 0.05882353, contact rate,
c_40_25, 0.05882353, contact rate,
c_40_30, 0.05882353, contact rate,
c_40_35, 0.05882353, contact rate,
c_40_40, 0.05882353, contact rate,
c_40_45, 0.05882353, contact rate,
c_40_50, 0.05882353, contact rate,
c_40_55, 0.05882353, contact rate,
c_40_60, 0.05882353, contact rate,
c_40_65, 0.05882353, contact rate,
c_40_70, 0.05882353, contact rate,
c_40_75, 0.05882353, contact rate,
c_40_80, 0.05882353, contact rate,
c_45_0, 0.05882353, contact rate,
c_45_5, 0.05882353, contact rate,
c_45_10, 0.05882353, contact rate,
c_45_15, 0.05882353, contact rate,
c_45_20, 0.05882353, contact rate,
c_45_25, 0.05882353, contact rate,
c_45_30, 0.05882353, contact rate,
c_45_35, 0.05882353, contact rate,
c_45_40, 0.05882353, contact rate,
c_45_45, 0.05882353, contact rate,
c_45_50, 0.05882353, contact rate,
c_45_55, 0.05882353, contact rate,
c_45_60, 0.05882353, contact rate,
c_45_65, 0.05882353, contact rate,
c_45_70, 0.05882353, contact rate,
c_45_75, 0.05882353, contact rate,
c_45_80, 0.05882353, contact rate,
c_50_0, 0.05882353, contact rate,
c_50_5, 0.05882353, contact rate,
c_50_10, 0.05882353, contact rate,
c_50_15, 0.05882353, contact rate,
c_50_20, 0.05882353, contact rate,
c_50_25, 0.05882353, contact rate,
c_50_30, 0.05882353, contact rate,
c_50_35, 0.05882353, contact rate,
c_50_40, 0.05882353, contact rate,
c_50_45, 0.05882353, contact rate,
c_50_50, 0.05882353, contact rate,
c_50_55, 0.05882353, contact rate,
c_50_60, 0.05882353, contact rate,
c_50_65, 0.05882353, contact rate,
c_50_70, 0.05882353, contact rate,
c_50_75, 0.05882353, contact rate,
c_50_80, 0.05882353, contact rate,
c_55_0, 0.05882353, contact rate,
c_55_5, 0.05882353, contact rate,
c_55_10, 0.05882353, contact rate,
c_55_15, 0.05882353, contact rate,
c_55_20, 0.05882353, contact rate,
c_55_25, 0.05882353, contact rate,
c_55_30, 0.05882353, contact rate,
c_55_35, 0.05882353, contact rate,
c_55_40, 0.05882353, contact rate,
c_55_45, 0.05882353, contact rate,
c_55_50, 0.05882353, contact rate,
c_55_55, 0.05882353, contact rate,
c_55_60, 0.05882353, contact rate,
c_55_65, 0.05882353, contact rate,
c_55_70, 0.05882353, contact rate,
c_55_75, 0.05882353, contact rate,
c_55_80, 0.05882353, contact rate,
c_60_0, 0.05882353, contact rate,
c_60_5, 0.05882353, contact rate,
c_60_10, 0.05882353, contact rate,
c_60_15, 0.05882353, contact rate,
c_60_20, 0.05882353, contact rate,
c_60_25, 0.05882353, contact rate,
c_60_30, 0.05882353, contact rate,
c_60_35, 0.05882353, contact rate,
c_60_40, 0.05882353, contact rate,
c_60_45, 0.05882353, contact rate,
c_60_50, 0.05882353, contact rate,
c_60_55, 0.05882353, contact rate,
c_60_60, 0.05882353, contact rate,
c_60_65, 0.05882353, contact rate,
c_60_70, 0.05882353, contact rate,
c_60_75, 0.05882353, contact rate,
c_60_80, 0.05882353, contact rate,
c_65_0, 0.05882353, contact rate,
c_65_5, 0.05882353, contact rate,
c_65_10, 0.05882353, contact rate,
c_65_15, 0.05882353, contact rate,
c_65_20, 0.05882353, contact rate,
c_65_25, 0.05882353, contact rate,
c_65_30, 0.05882353, contact rate,
c_65_35, 0.05882353, contact rate,
c_65_40, 0.05882353, contact rate,
c_65_45, 0.05882353, contact rate,
c_65_50, 0.05882353, contact rate,
c_65_55, 0.05882353, contact rate,
c_65_60, 0.05882353, contact rate,
c_65_65, 0.05882353, contact rate,
c_65_70, 0.05882353, contact rate,
c_65_75, 0.05882353, contact rate,
c_65_80, 0.05882353, contact rate,
c_70_0, 0.05882353, contact rate,
c_70_5, 0.05882353, contact rate,
c_70_10, 0.05882353, contact rate,
c_70_15, 0.05882353, contact rate,
c_70_20, 0.05882353, contact rate,
c_70_25, 0.05882353, contact rate,
c_70_30, 0.05882353, contact rate,
c_70_35, 0.05882353, contact rate,
c_70_40, 0.05882353, contact rate,
c_70_45, 0.05882353, contact rate,
c_70_50, 0.05882353, contact rate,
c_70_55, 0.05882353, contact rate,
c_70_60, 0.05882353, contact rate,
c_70_65, 0.05882353, contact rate,
c_70_70, 0.05882353, contact rate,
c_70_75, 0.05882353, contact rate,
c_70_80, 0.05882353, contact rate,
c_75_0, 0.05882353, contact rate,
c_75_5, 0.05882353, contact rate,
c_75_10, 0.05882353, contact rate,
c_75_15, 0.05882353, contact rate,
c_75_20, 0.05882353, contact rate,
c_75_25, 0.05882353, contact rate,
c_75_30, 0.05882353, contact rate,
c_75_35, 0.05882353, contact rate,
c_75_40, 0.05882353, contact rate,
c_75_45, 0.05882353, contact rate,
c_75_50, 0.05882353, contact rate,
c_75_55, 0.05882353, contact rate,
c_75_60, 0.05882353, contact rate,
c_75_65, 0.05882353, contact rate,
c_75_70, 0.05882353, contact rate,
c_75_75, 0.05882353, contact rate,
c_75_80, 0.05882353, contact rate,
c_80_0, 0.05882353, contact rate,
c_80_5, 0.05882353, contact rate,
c_80_10, 0.05882353, contact rate,
c_80_15, 0.05882353, contact rate,
c_80_20, 0.05882353, contact rate,
c_80_25, 0.05882353, contact rate,
c_80_30, 0.05882353, contact rate,
c_80_35, 0.05882353, contact rate,
c_80_40, 0.05882353, contact rate,
c_80_45, 0.05882353, contact rate,
c_80_50, 0.05882353, contact rate,
c_80_55, 0.05882353, contact rate,
c_80_60, 0.05882353, contact rate,
c_80_65, 0.05882353, contact rate,
c_80_70, 0.05882353, contact rate,
c_80_75, 0.05882353, contact rate,
c_80_80, 0.05882353, contact rate,
